start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
ID,IDENT,LATITUDE,LONGITUDE,TYPE
0,00A,40.07083333333333,-74.9336111111111,AIRPORT
1,00AK,59.94888888888889,-151.69222222222223,AIRPORT
2,00AL,34.86481027777778,-86.7702775,AIRPORT
3,00C,37.203178333333334,-107.86919527777778,AIRPORT
4,00CA,35.350525555555556,-116.88836916666668,AIRPORT
5,00CO,40.62220472222222,-104.34439583333334,AIRPORT
6,00F,45.47047222222223,-105.45713888888889,AIRPORT
7,00FA,28.645547222222223,-82.218975,AIRPORT
8,00FL,27.230879722222223,-80.96923055555555,AIRPORT
9,00GA,33.7675,-84.06833333333333,AIRPORT
10,00GE,33.884166666666665,-84.73388888888888,AIRPORT
11,00HI,19.83251222222222,-155.98165861111113,AIRPORT
12,00ID,48.14527777777778,-116.21444444444444,AIRPORT
13,00IL,41.978363333333334,-89.56038833333334,AIRPORT
14,00IN,41.51138888888889,-87.26055555555556,AIRPORT
15,00IS,40.025594999999996,-89.12286472222223,AIRPORT
16,00KS,38.72778666666667,-94.93051972222221,AIRPORT
17,00KY,37.409444444444446,-84.61972222222222,AIRPORT
18,00LA,30.191944444444445,-90.98083333333334,AIRPORT
19,00LL,39.665277777777774,-89.70555555555555,AIRPORT
20,00LS,30.136277777777778,-92.42936111111112,AIRPORT
21,00M,31.95375,-89.23533333333333,AIRPORT
22,00MD,38.757057777777774,-75.75382083333334,AIRPORT
23,00MN,46.29996027777778,-95.70032416666668,AIRPORT
24,00MO,37.20283472222222,-94.41244777777777,AIRPORT
25,00N,39.47302777777777,-75.18441666666668,AIRPORT
26,00NC,36.08515027777778,-78.37138555555556,AIRPORT
27,00NJ,40.52093694444444,-74.47459749999999,AIRPORT
28,00NK,44.811861111111114,-73.36980555555556,AIRPORT
29,00NR,35.594750000000005,-75.47005555555556,AIRPORT
30,00NY,42.900063888888894,-77.49971611111111,AIRPORT
31,00OH,39.20323055555556,-84.67011944444444,AIRPORT
32,00OI,39.74533666666667,-84.18743972222222,AIRPORT
33,00PA,39.94888888888889,-75.74694444444444,AIRPORT
34,00PN,41.2995,-80.21111111111111,AIRPORT
35,00R,30.685861111111112,-95.01791666666666,AIRPORT
36,00S,44.181555555555555,-122.08555555555556,AIRPORT
37,00SC,34.00944444444445,-80.26722222222222,AIRPORT
38,00TA,32.82694444444444,-97.30583333333334,AIRPORT
39,00TE,32.84762777777778,-97.18945722222222,AIRPORT
40,00TN,35.51590861111111,-85.95359583333334,AIRPORT
41,00TS,32.607635555555554,-97.24195777777778,AIRPORT
42,00TX,29.737726944444443,-94.98020527777778,AIRPORT
43,00VA,36.576,-78.99916666666667,AIRPORT
44,00VI,36.663333333333334,-80.4995,AIRPORT
45,00W,46.67275,-117.44166666666666,AIRPORT
46,00WA,47.17843055555556,-122.7718,AIRPORT
47,00WI,44.304285,-89.0501136111111,AIRPORT
48,00WN,46.25,-117.24900000000001,AIRPORT
49,00WV,38.82888888888889,-79.86611111111111,AIRPORT
50,00XA,30.2240375,-96.01415277777778,AIRPORT
51,00XS,33.033427777777774,-101.93377194444446,AIRPORT
52,01A,62.94361083333334,-152.2700163888889,AIRPORT
53,01AK,60.10527777777778,-149.44305555555556,AIRPORT
54,01AL,32.94595611111111,-86.51386833333332,AIRPORT
55,01AR,34.047335555555556,-94.35492833333335,AIRPORT
56,01AZ,34.60805555555555,-111.86472222222223,AIRPORT
57,01B,41.33305555555555,-85.7675,AIRPORT
58,01CA,34.368612222222225,-117.37004694444444,AIRPORT
59,01CL,38.799902222222215,-120.73437555555554,AIRPORT
60,01CO,39.2452675,-106.24585611111111,AIRPORT
61,01CT,41.627288888888884,-72.72746388888889,AIRPORT
62,01D,41.40361111111111,-85.70611111111111,AIRPORT
63,01E,41.7,-85.03930555555556,AIRPORT
64,01F,41.55222222222222,-84.91722222222222,AIRPORT
65,01FA,28.58944361111111,-81.14423027777778,AIRPORT
66,01FD,28.66638638888889,-81.37062416666666,AIRPORT
67,01FL,28.78193611111111,-81.15922777777777,AIRPORT
68,01G,42.74136111111111,-78.05213888888889,AIRPORT
69,01GA,32.47930888888889,-84.97909833333334,AIRPORT
70,01GE,32.67444444444445,-82.77111111111111,AIRPORT
71,01H,41.20611111111111,-86.40444444444445,AIRPORT
72,01IA,41.661139722222224,-90.74125444444445,AIRPORT
73,01ID,42.60825111111111,-112.03246055555556,AIRPORT
74,01IL,40.4586475,-87.65946805555556,AIRPORT
75,01IN,40.13087444444444,-85.69580944444444,AIRPORT
76,01IS,39.01615833333334,-90.31816861111112,AIRPORT
77,01J,30.685966666666666,-81.90634305555557,AIRPORT
78,01K,37.03661111111111,-97.58555555555556,AIRPORT
79,01KS,38.540567777777774,-97.00335,AIRPORT
80,01KY,37.05166666666667,-88.64694444444444,AIRPORT
81,01L,41.22888888888889,-86.58166666666666,AIRPORT
82,01LA,32.639026944444446,-91.77373611111112,AIRPORT
83,01LS,30.722638888888888,-91.07736111111112,AIRPORT
84,01M,34.49166666666667,-88.20111111111112,AIRPORT
85,01MA,42.62509222222222,-71.18006944444444,AIRPORT
86,01MD,38.99916666666667,-76.45596666666665,AIRPORT
87,01ME,46.778888888888886,-68.50027777777778,AIRPORT
88,01MI,43.04947111111111,-83.67967861111111,AIRPORT
89,01MN,47.89963777777778,-92.55738944444445,AIRPORT
90,01MO,38.64171916666667,-90.48428694444445,AIRPORT
91,01MT,48.78913194444444,-114.88043638888888,AIRPORT
92,01NC,34.47527777777778,-77.5813888888889,AIRPORT
93,01NE,40.84361666666666,-100.6526436111111,AIRPORT
94,01NH,43.64451666666667,-72.08703055555556,AIRPORT
95,01NJ,40.74176805555555,-74.13708777777778,AIRPORT
96,01NK,43.425,-73.26194444444444,AIRPORT
97,01NM,33.00861111111111,-104.54027777777777,AIRPORT
98,01NR,34.19638888888889,-77.91944444444445,AIRPORT
99,01NV,38.763888888888886,-119.02722222222222,AIRPORT
100,01NY,41.700093333333335,-73.94958222222222,AIRPORT
101,01OH,39.49747222222222,-84.31391666666666,AIRPORT
102,01OI,40.73061333333334,-82.80156972222223,AIRPORT
103,01PA,40.65562222222222,-80.05089138888889,AIRPORT
104,01PN,40.930616944444445,-77.73888972222223,AIRPORT
105,01PS,41.595908333333334,-76.02964444444444,AIRPORT
106,01SC,35.03207944444445,-81.25277777777778,AIRPORT
107,01TA,32.69416666666667,-97.11583333333333,AIRPORT
108,01TE,32.737629166666665,-96.42804055555555,AIRPORT
109,01TN,34.99592611111111,-89.73064,AIRPORT
110,01U,38.85325,-115.63466666666666,AIRPORT
111,01UT,38.30831944444445,-109.39650222222222,AIRPORT
112,01VA,39.125,-77.925,AIRPORT
113,01WA,46.66315472222222,-123.8121061111111,AIRPORT
114,01WI,44.01,-90.38916666666667,AIRPORT
115,01WN,48.21308888888889,-122.68528055555556,AIRPORT
116,01WT,47.51817777777778,-122.21090833333334,AIRPORT
117,01WY,44.34720472222222,-104.81080361111111,AIRPORT
118,01XA,30.00722222222222,-97.85333333333334,AIRPORT
119,01XS,32.02016027777778,-95.74551694444443,AIRPORT
120,02A,32.85047222222222,-86.61144444444444,AIRPORT
121,02AA,61.50666666666667,-149.91194444444446,AIRPORT
122,02AK,61.87691111111111,-150.0976388888889,AIRPORT
123,02AL,30.37146388888889,-87.76444444444445,AIRPORT
124,02AR,34.11694444444444,-93.6965,AIRPORT
125,02C,43.09022225,-88.17816030555555,AIRPORT
126,02CA,33.582522222222224,-118.12895416666666,AIRPORT
127,02CD,34.12960555555556,-90.524025,AIRPORT
128,02CL,34.761091944444445,-119.05899305555556,AIRPORT
129,02CO,37.64333472222222,-106.04697,AIRPORT
130,02CT,41.91963611111111,-72.44445555555556,AIRPORT
131,02D,41.223055555555554,-85.83055555555555,AIRPORT
132,02FA,28.526666388888888,-81.87480000000001,AIRPORT
133,02FL,30.642777777777777,-86.12388888888889,AIRPORT
134,02G,40.67331277777778,-80.6414063888889,AIRPORT
135,02GA,34.20260805555555,-83.42904888888889,AIRPORT
136,02GE,34.17527777777778,-84.92444444444445,AIRPORT
137,02HI,21.36202777777778,-157.95072222222223,AIRPORT
138,02IA,42.05609166666667,-93.87800277777778,AIRPORT
139,02ID,44.555459444444445,-115.30510666666667,AIRPORT
140,02II,40.06226,-86.2105475,AIRPORT
141,02IN,40.208888888888886,-85.54083333333334,AIRPORT
142,02IS,42.274638888888894,-87.95727777777778,AIRPORT
143,02KS,39.22221888888889,-96.05527055555555,AIRPORT
144,02KY,38.19444444444444,-84.91111111111111,AIRPORT
145,02LA,32.531483333333334,-93.65991666666667,AIRPORT
146,02LS,30.148333333333333,-91.91902777777777,AIRPORT
147,02MA,41.41955194444444,-70.92697944444444,AIRPORT
148,02MD,38.67254444444445,-76.7097388888889,AIRPORT
149,02ME,43.5373,-70.92936666666667,AIRPORT
150,02MI,43.157088888888886,-85.14851666666667,AIRPORT
151,02MO,39.05004638888889,-91.03347472222222,AIRPORT
152,02MS,34.10010694444444,-90.84677138888888,AIRPORT
153,02MU,36.65423277777778,-93.79741916666666,AIRPORT
154,02NC,35.541111111111114,-80.59777777777778,AIRPORT
155,02NH,44.657138888888895,-71.21905555555556,AIRPORT
156,02NJ,40.67461111111111,-74.27819444444444,AIRPORT
157,02NR,35.591944444444444,-77.3775,AIRPORT
158,02NV,41.300555555555555,-118.92833333333333,AIRPORT
159,02NY,43.13256833333334,-75.65545972222223,AIRPORT
160,02P,40.40358333333333,-77.55658333333334,AIRPORT
161,02PA,40.43833333333333,-79.77,AIRPORT
162,02PN,40.059019444444445,-75.46138888888889,AIRPORT
163,02PR,18.453333333333333,-66.36694444444444,AIRPORT
164,02SC,32.75850194444445,-81.22482472222222,AIRPORT
165,02T,45.77002777777778,-112.98047222222223,AIRPORT
166,02TA,28.721375,-95.87385027777778,AIRPORT
167,02TE,32.395380555555555,-96.8642,AIRPORT
168,02TN,35.78055555555556,-86.58416666666666,AIRPORT
169,02UT,41.3663125,-113.8430636111111,AIRPORT
170,02VA,38.43568277777778,-77.85721638888889,AIRPORT
171,02WA,47.152323888888894,-122.09400277777777,AIRPORT
172,02WI,45.031911111111114,-92.65575638888889,AIRPORT
173,02WN,48.74583333333333,-119.31861111111111,AIRPORT
174,02XS,30.147713055555556,-97.66277916666667,AIRPORT
175,03AK,60.727222222222224,-151.1327777777778,AIRPORT
176,03AL,34.6625,-86.04722222222222,AIRPORT
177,03AR,34.357592777777775,-92.78850055555556,AIRPORT
178,03AZ,31.433432500000002,-110.08396583333334,AIRPORT
179,03B,37.126777777777775,-92.62161111111111,AIRPORT
180,03CA,32.77977277777778,-117.0058611111111,AIRPORT
181,03CO,40.2125,-104.74444444444444,AIRPORT
182,03D,40.447250000000004,-92.22694444444444,AIRPORT
183,03FA,27.3530975,-81.40812861111111,AIRPORT
184,03FD,30.828798055555556,-85.73104277777779,AIRPORT
185,03FL,26.683676944444443,-80.18726722222223,AIRPORT
186,03G,42.02061388888889,-80.07071944444445,AIRPORT
187,03I,39.64369444444444,-83.01747222222222,AIRPORT
188,03ID,44.79432944444445,-116.53264638888889,AIRPORT
189,03II,37.96198694444444,-87.77891166666666,AIRPORT
190,03IL,41.402255277777776,-87.81671333333334,AIRPORT
191,03IS,38.905047777777774,-90.1734425,AIRPORT
192,03KS,39.86472055555556,-95.26414277777778,AIRPORT
193,03KY,37.79170944444445,-87.54139916666666,AIRPORT
194,03LA,30.199640833333333,-91.12788166666667,AIRPORT
195,03LS,32.15903888888889,-91.70804166666667,AIRPORT
196,03M,44.31522222222222,-69.88705555555555,AIRPORT
197,03MA,42.393144722222225,-72.55203222222222,AIRPORT
198,03MD,39.52249722222222,-76.32666388888889,AIRPORT
199,03ME,44.08423722222222,-70.62728277777778,AIRPORT
200,03MI,43.55085666666667,-83.86219555555554,AIRPORT
201,03MN,43.625238333333336,-95.22472222222223,AIRPORT
202,03MO,37.88447888888889,-93.1315811111111,AIRPORT
203,03MU,38.49251388888889,-94.41244972222222,AIRPORT
204,03N,11.233333333333333,169.85,AIRPORT
205,03NC,34.10433833333333,-77.90416666666667,AIRPORT
206,03ND,48.62638277777778,-97.82898333333334,AIRPORT
207,03NH,42.81544722222222,-71.12439444444445,AIRPORT
208,03NJ,40.903505555555554,-74.16547222222222,AIRPORT
209,03NM,36.86237222222223,-104.44276388888889,AIRPORT
210,03NV,40.58444444444444,-115.29777777777778,AIRPORT
211,03NY,40.95843166666666,-72.716765,AIRPORT
212,03OH,41.41838527777778,-83.0174161111111,AIRPORT
213,03OI,41.42088611111111,-81.59984666666666,AIRPORT
214,03OK,36.04119722222222,-96.1613888888889,AIRPORT
215,03OR,45.855421944444444,-117.48434416666667,AIRPORT
216,03PA,40.16288222222222,-75.46574027777777,AIRPORT
217,03PN,41.066861111111116,-76.18080555555557,AIRPORT
218,03PS,40.85,-77.90555555555555,AIRPORT
219,03S,45.40161111111111,-122.22869444444444,AIRPORT
220,03SC,33.865,-78.66194444444444,AIRPORT
221,03TA,31.996750000000002,-102.10094444444445,AIRPORT
222,03TE,27.491144444444444,-98.66946138888889,AIRPORT
223,03TN,35.9225,-83.57944444444445,AIRPORT
224,03TS,31.459883333333334,-100.43759305555557,AIRPORT
225,03TX,29.581621666666667,-95.30715888888889,AIRPORT
226,03UT,37.12083444444444,-109.98595722222223,AIRPORT
227,03VA,38.216388888888886,-77.49555555555555,AIRPORT
228,03WA,47.40822694444444,-117.37186361111111,AIRPORT
229,03WN,45.87504166666667,-120.6725,AIRPORT
230,03WT,48.52493333333334,-122.91238888888888,AIRPORT
231,03XA,31.757416666666664,-106.34697222222222,AIRPORT
232,03XS,31.318055555555556,-100.75416666666666,AIRPORT
233,04A,31.736138888888892,-86.26222222222222,AIRPORT
234,04AL,33.62638888888889,-85.96722222222222,AIRPORT
235,04AR,34.57398138888889,-92.58293888888889,AIRPORT
236,04CA,34.56662222222222,-117.67038333333333,AIRPORT
237,04CL,33.08171083333333,-116.44140444444444,AIRPORT
238,04CT,41.75510555555556,-73.0524,AIRPORT
239,04FA,25.558719166666666,-80.51505722222223,AIRPORT
240,04FL,29.239424722222225,-81.222005,AIRPORT
241,04G,41.130472222222224,-80.61958333333334,AIRPORT
242,04I,39.91117333333333,-83.18880138888889,AIRPORT
243,04IA,41.08835027777777,-92.05462027777777,AIRPORT
244,04ID,43.87766416666666,-116.53708055555555,AIRPORT
245,04II,41.130604444444444,-84.99413416666665,AIRPORT
246,04IL,40.63753527777778,-89.00701888888888,AIRPORT
247,04IN,41.701388888888886,-85.11305555555556,AIRPORT
248,04IS,40.178644722222224,-88.5689525,AIRPORT
249,04KY,37.13505361111111,-85.78941555555556,AIRPORT
250,04LA,30.051111111111112,-90.70222222222222,AIRPORT
251,04LS,30.446033333333332,-91.10515,AIRPORT
252,04M,33.930083333333336,-89.34327777777777,AIRPORT
253,04MA,42.80981138888889,-71.13922527777778,AIRPORT
254,04MD,39.51806666666667,-75.82145,AIRPORT
255,04ME,44.66672861111111,-69.89394416666667,AIRPORT
256,04MI,42.53448111111111,-84.62831305555557,AIRPORT
